set abbreviation,set name,card name,price
SWSH01,Sword & Shield Base Set,Air Balloon,0.21
SWSH01,Sword & Shield Base Set,Air Balloon (Secret),11.49
SWSH01,Sword & Shield Base Set,Aurora Energy,0.85
SWSH01,Sword & Shield Base Set,Baltoy (101),0.03
SWSH01,Sword & Shield Base Set,Baltoy (102),0.03
SWSH01,Sword & Shield Base Set,Bede,0.06
SWSH01,Sword & Shield Base Set,Bede (Full Art),4.16
SWSH01,Sword & Shield Base Set,Bede (Secret),4.37
SWSH01,Sword & Shield Base Set,Big Charm,0.09
SWSH01,Sword & Shield Base Set,Bisharp,0.06
SWSH01,Sword & Shield Base Set,Blipbug (016),0.03
SWSH01,Sword & Shield Base Set,Blipbug (017),0.05
SWSH01,Sword & Shield Base Set,Boltund (075),0.35
SWSH01,Sword & Shield Base Set,Boltund (076),0.27
SWSH01,Sword & Shield Base Set,Celebi V,1
SWSH01,Sword & Shield Base Set,Centiskorch,0.26
SWSH01,Sword & Shield Base Set,Chewtle,0.05
SWSH01,Sword & Shield Base Set,Chinchou (067),0.05
SWSH01,Sword & Shield Base Set,Chinchou (068),0.06
SWSH01,Sword & Shield Base Set,Cinccino,0.4
SWSH01,Sword & Shield Base Set,Cinderace (034),0.21
SWSH01,Sword & Shield Base Set,Cinderace (035),0.38
SWSH01,Sword & Shield Base Set,Cinderace (036),0.28
SWSH01,Sword & Shield Base Set,Claydol,0.16
SWSH01,Sword & Shield Base Set,Clobbopus (111),0.03
SWSH01,Sword & Shield Base Set,Clobbopus (112),0.03
SWSH01,Sword & Shield Base Set,Cloyster,0.19
SWSH01,Sword & Shield Base Set,Copperajah,0.44
SWSH01,Sword & Shield Base Set,Corviknight,0.17
SWSH01,Sword & Shield Base Set,Corvisquire,0.06
SWSH01,Sword & Shield Base Set,Cottonee,0.05
SWSH01,Sword & Shield Base Set,Cramorant,0.13
SWSH01,Sword & Shield Base Set,Cramorant V,0.8
SWSH01,Sword & Shield Base Set,Cramorant V (Full Art),2.02
SWSH01,Sword & Shield Base Set,Croagunk,0.05
